DATE,CPIAUCNS_PCH
1914-01-01,1.34907
1915-01-01,0.91514
1916-01-01,7.66694
1917-01-01,17.84074
1918-01-01,17.28395
1919-01-01,15.23546
1920-01-01,15.62500
1921-01-01,-10.93555
1922-01-01,-6.16246
1923-01-01,1.79104
1924-01-01,0.43988
1925-01-01,2.43309
1926-01-01,0.90261
1927-01-01,-1.93032
1928-01-01,-1.15218
1929-01-01,0.00000
1930-01-01,-2.67120
1931-01-01,-8.93214
1932-01-01,-10.30137
1933-01-01,-5.19243
1934-01-01,3.47938
1935-01-01,2.55293
1936-01-01,1.03218
1937-01-01,3.72596
1938-01-01,-2.02781
1939-01-01,-1.30101
1940-01-01,0.71899
1941-01-01,5.11600
1942-01-01,10.92247
1943-01-01,5.96939
1944-01-01,1.63698
1945-01-01,2.27380
1946-01-01,8.47615
1947-01-01,14.38941
1948-01-01,7.68944
1949-01-01,-0.97054
1950-01-01,1.08505
1951-01-01,7.86011
1952-01-01,2.27929
1953-01-01,0.81607
1954-01-01,0.31133
1955-01-01,-0.27933
1956-01-01,1.52505
1957-01-01,3.34151
1958-01-01,2.72916
1959-01-01,1.01068
1960-01-01,1.45798
1961-01-01,1.07072
1962-01-01,1.19877
1963-01-01,1.23967
1964-01-01,1.27891
1965-01-01,1.58517
1966-01-01,3.01508
1967-01-01,2.77279
1968-01-01,4.27180
1969-01-01,5.46239
1970-01-01,5.83826
1971-01-01,4.29277
1972-01-01,3.27228
1973-01-01,6.17776
1974-01-01,11.05480
1975-01-01,9.14315
1976-01-01,5.74481
1977-01-01,6.50168
1978-01-01,7.63096
1979-01-01,11.25447
1980-01-01,13.54920
1981-01-01,10.33472
1982-01-01,6.13143
1983-01-01,3.21244
1984-01-01,4.30054
1985-01-01,3.54564
1986-01-01,1.89805
1987-01-01,3.66456
1988-01-01,4.07774
1989-01-01,4.82700
1990-01-01,5.39796
1991-01-01,4.23496
1992-01-01,3.02882
1993-01-01,2.95166
1994-01-01,2.60744
1995-01-01,2.80542
1996-01-01,2.93120
1997-01-01,2.33769
1998-01-01,1.55228
1999-01-01,2.18803
2000-01-01,3.37686
2001-01-01,2.82617
2002-01-01,1.58603
2003-01-01,2.27009
2004-01-01,2.67724
2005-01-01,3.39275
2006-01-01,3.22594
2007-01-01,2.85267
2008-01-01,3.83910
2009-01-01,-0.35555
2010-01-01,1.64004
2011-01-01,3.15684
2012-01-01,2.06934
2013-01-01,1.46483
2014-01-01,1.62222
2015-01-01,0.11863
2016-01-01,1.26158
2017-01-01,2.13011
2018-01-01,2.44258
