DATE,INDPRO_CCH
1965-01-01,3.70744
1965-04-01,2.29225
1965-07-01,2.07239
1965-10-01,2.00297
1966-01-01,2.82392
1966-04-01,2.06681
1966-07-01,1.53542
1966-10-01,0.95101
1967-01-01,-0.55247
1967-04-01,-0.40834
1967-07-01,0.68551
1967-10-01,2.64070
1968-01-01,1.41734
1968-04-01,1.33910
1968-07-01,0.77303
1968-10-01,1.50708
1969-01-01,1.92671
1969-04-01,0.43545
1969-07-01,1.19331
1969-10-01,-0.62895
1970-01-01,-2.45257
1970-04-01,-0.55155
1970-07-01,-0.35874
1970-10-01,-2.18552
1971-01-01,1.90968
1971-04-01,0.90166
1971-07-01,0.30786
1971-10-01,2.29153
1972-01-01,4.15421
1972-04-01,1.88883
1972-07-01,1.26541
1972-10-01,3.43951
1973-01-01,2.79415
1973-04-01,0.83210
1973-07-01,0.85863
1973-10-01,1.48208
1974-01-01,-0.88603
1974-04-01,0.05895
1974-07-01,-0.39493
1974-10-01,-4.05070
1975-01-01,-6.83611
1975-04-01,-1.35940
1975-07-01,2.42584
1975-10-01,2.15777
1976-01-01,3.02894
1976-04-01,1.26991
1976-07-01,1.32789
1976-10-01,1.78776
1977-01-01,2.05350
1977-04-01,3.05148
1977-07-01,1.07381
1977-10-01,0.64705
1978-01-01,-0.27885
1978-04-01,3.94537
1978-07-01,0.86808
1978-10-01,1.77395
1979-01-01,0.42260
1979-04-01,-0.21584
1979-07-01,-0.28022
1979-10-01,0.38228
1980-01-01,0.40453
1980-04-01,-4.33763
1980-07-01,-1.65616
1980-10-01,3.77595
1981-01-01,0.23808
1981-04-01,0.30647
1981-07-01,0.95724
1981-10-01,-2.20903
1982-01-01,-2.07643
1982-04-01,-1.28440
1982-07-01,-1.44009
1982-10-01,-1.90137
1983-01-01,1.15291
1983-04-01,2.19845
1983-07-01,3.37194
1983-10-01,2.60252
1984-01-01,2.88889
1984-04-01,1.52770
1984-07-01,0.70736
1984-10-01,0.04884
1985-01-01,0.32802
1985-04-01,0.06682
1985-07-01,-0.13677
1985-10-01,0.58386
1986-01-01,0.59979
1986-04-01,-0.61493
1986-07-01,0.39130
1986-10-01,1.14091
1987-01-01,1.31431
1987-04-01,1.73159
1987-07-01,1.85167
1987-10-01,2.40790
1988-01-01,0.90297
1988-04-01,0.84879
1988-07-01,0.35976
1988-10-01,0.71960
1989-01-01,0.45000
1989-04-01,-0.36029
1989-07-01,-0.61571
1989-10-01,0.42855
1990-01-01,0.66054
1990-04-01,0.74591
1990-07-01,0.41618
1990-10-01,-1.56080
1991-01-01,-1.90842
1991-04-01,0.58134
1991-07-01,1.40598
1991-10-01,0.23512
1992-01-01,-0.11135
1992-04-01,1.76485
1992-07-01,0.76633
1992-10-01,1.05070
1993-01-01,0.88205
1993-04-01,0.22753
1993-07-01,0.39172
1993-10-01,1.50598
1994-01-01,1.23229
1994-04-01,1.79502
1994-07-01,1.26906
1994-10-01,2.05384
1995-01-01,1.02108
1995-04-01,0.31717
1995-07-01,0.91205
1995-10-01,0.85421
1996-01-01,0.67164
1996-04-01,2.12399
1996-07-01,1.28795
1996-10-01,1.39328
1997-01-01,1.89165
1997-04-01,1.41851
1997-07-01,2.26871
1997-10-01,2.47623
1998-01-01,1.11763
1998-04-01,0.67134
1998-07-01,0.73672
1998-10-01,1.42946
1999-01-01,1.10020
1999-04-01,0.95556
1999-07-01,0.88698
1999-10-01,1.75476
2000-01-01,1.00536
2000-04-01,1.20295
2000-07-01,-0.09724
2000-10-01,-0.21084
2001-01-01,-1.32794
2001-04-01,-1.26988
2001-07-01,-1.38842
2001-10-01,-1.05242
2002-01-01,0.73569
2002-04-01,1.54273
2002-07-01,0.58547
2002-10-01,-0.02216
2003-01-01,0.62209
2003-04-01,-0.75010
2003-07-01,0.66093
2003-10-01,0.97300
2004-01-01,0.69967
2004-04-01,0.57005
2004-07-01,0.55530
2004-10-01,1.41308
2005-01-01,1.42143
2005-04-01,0.50535
2005-07-01,-0.45962
2005-10-01,0.96599
2006-01-01,0.93530
2006-04-01,0.59967
2006-07-01,0.37939
2006-10-01,0.22007
2007-01-01,0.87771
2007-04-01,1.22036
2007-07-01,0.27518
2007-10-01,0.30395
2008-01-01,-0.36965
2008-04-01,-1.48494
2008-07-01,-3.34975
2008-10-01,-4.37146
2009-01-01,-5.77878
2009-04-01,-2.89096
2009-07-01,1.49136
2009-10-01,1.55729
2010-01-01,1.94714
2010-04-01,1.94489
2010-07-01,1.29766
2010-10-01,0.33131
2011-01-01,0.55971
2011-04-01,0.40060
2011-07-01,1.16244
2011-10-01,0.98721
2012-01-01,0.94852
2012-04-01,0.63450
2012-07-01,0.01016
2012-10-01,0.52303
2013-01-01,0.77970
2013-04-01,0.42917
2013-07-01,0.35608
2013-10-01,0.68210
2014-01-01,0.76742
2014-04-01,1.32860
2014-07-01,0.59106
2014-10-01,0.65400
2015-01-01,-0.76721
2015-04-01,-1.35183
2015-07-01,-0.01780
2015-10-01,-1.31442
2016-01-01,-0.51892
2016-04-01,-0.57876
2016-07-01,0.45814
2016-10-01,0.32811
2017-01-01,0.58424
2017-04-01,1.36348
2017-07-01,-0.20115
2017-10-01,1.81219
2018-01-01,0.56431
2018-04-01,1.11742
2018-07-01,1.25678
2018-10-01,0.91748
