Month,LA,Riverside
1975M01,15.76,21.71
1975M02,15.88,21.77
1975M03,16.15,22.02
1975M04,16.53,22.44
1975M05,16.86,22.77
1975M06,17.02,22.90
1975M07,17.17,23.05
1975M08,17.42,23.35
1975M09,17.68,23.68
1975M10,17.91,23.99
1975M11,18.07,24.20
1975M12,18.23,24.40
1976M01,18.45,24.68
1976M02,18.69,24.97
1976M03,19.01,25.34
1976M04,19.36,25.74
1976M05,19.66,26.06
1976M06,19.97,26.39
1976M07,20.32,26.79
1976M08,20.67,27.21
1976M09,21.00,27.62
1976M10,21.33,28.07
1976M11,21.72,28.61
1976M12,22.12,29.18
1977M01,22.54,29.78
1977M02,23.06,30.51
1977M03,23.67,31.33
1977M04,24.27,32.10
1977M05,24.89,32.86
1977M06,25.53,33.61
1977M07,26.09,34.25
1977M08,26.66,34.93
1977M09,27.10,35.47
1977M10,27.40,35.88
1977M11,27.72,36.35
1977M12,27.99,36.76
1978M01,28.27,37.22
1978M02,28.56,37.67
1978M03,28.83,38.10
1978M04,29.18,38.63
1978M05,29.65,39.32
1978M06,30.08,39.95
1978M07,30.43,40.47
1978M08,30.81,41.00
1978M09,31.21,41.56
1978M10,31.65,42.17
1978M11,31.98,42.62
1978M12,32.18,42.88
1979M01,32.41,43.18
1979M02,32.77,43.62
1979M03,33.30,44.22
1979M04,33.95,44.97
1979M05,34.66,45.75
1979M06,35.27,46.40
1979M07,35.78,46.92
1979M08,36.43,47.62
1979M09,37.11,48.36
1979M10,37.57,48.84
1979M11,37.94,49.22
1979M12,38.31,49.57
1980M01,38.70,49.92
1980M02,39.19,50.36
1980M03,39.80,50.92
1980M04,40.36,51.40
1980M05,40.75,51.69
1980M06,41.18,52.04
1980M07,41.79,52.64
1980M08,42.44,53.30
1980M09,42.86,53.71
1980M10,42.97,53.78
1980M11,42.89,53.67
1980M12,43.08,53.98
1981M01,43.57,54.69
1981M02,43.96,55.29
1981M03,44.24,55.72
1981M04,44.51,56.12
1981M05,44.98,56.74
1981M06,45.60,57.51
1981M07,46.05,58.06
1981M08,46.29,58.36
1981M09,46.50,58.65
1981M10,46.64,58.88
1981M11,46.55,58.85
1981M12,46.33,58.68
1982M01,46.20,58.65
1982M02,46.20,58.79
1982M03,46.30,59.07
1982M04,46.42,59.38
1982M05,46.35,59.44
1982M06,45.98,59.08
1982M07,45.55,58.59
1982M08,45.38,58.35
1982M09,45.46,58.32
1982M10,45.61,58.31
1982M11,45.84,58.33
1982M12,46.07,58.34
1983M01,46.20,58.23
1983M02,46.29,58.10
1983M03,46.41,58.05
1983M04,46.62,58.11
1983M05,46.82,58.19
1983M06,46.99,58.23
1983M07,47.17,58.29
1983M08,47.28,58.25
1983M09,47.30,58.10
1983M10,47.33,57.99
1983M11,47.36,57.91
1983M12,47.40,57.89
1984M01,47.53,58.02
1984M02,47.69,58.21
1984M03,47.85,58.43
1984M04,48.00,58.67
1984M05,48.10,58.86
1984M06,48.15,59.00
1984M07,48.21,59.14
1984M08,48.30,59.29
1984M09,48.42,59.45
1984M10,48.53,59.55
