DATE,TLRESCON_CHG
2002-02-01,-251
2002-03-01,4105
2002-04-01,3182
2002-05-01,2051
2002-06-01,2849
2002-07-01,972
2002-08-01,-521
2002-09-01,-2277
2002-10-01,144
2002-11-01,-1656
2002-12-01,-4218
2003-01-01,-1558
2003-02-01,-779
2003-03-01,4161
2003-04-01,2563
2003-05-01,2430
2003-06-01,3239
2003-07-01,2640
2003-08-01,623
2003-09-01,-1825
2003-10-01,952
2003-11-01,-1268
2003-12-01,-4471
2004-01-01,-2947
2004-02-01,-661
2004-03-01,5944
2004-04-01,2869
2004-05-01,3712
2004-06-01,3269
2004-07-01,2820
2004-08-01,1362
2004-09-01,-3577
2004-10-01,-19
2004-11-01,-2843
2004-12-01,-5182
2005-01-01,-2222
2005-02-01,244
2005-03-01,6134
2005-04-01,3944
2005-05-01,2674
2005-06-01,4361
2005-07-01,3085
2005-08-01,1351
2005-09-01,-2548
2005-10-01,970
2005-11-01,-3860
2005-12-01,-6527
2006-01-01,-3396
2006-02-01,-369
2006-03-01,6545
2006-04-01,2352
2006-05-01,1020
2006-06-01,1360
2006-07-01,365
2006-08-01,-800
2006-09-01,-4296
2006-10-01,-1118
2006-11-01,-5233
2006-12-01,-5742
2007-01-01,-3306
2007-02-01,-905
2007-03-01,5207
2007-04-01,3048
2007-05-01,1089
2007-06-01,1919
2007-07-01,800
2007-08-01,-851
2007-09-01,-4433
2007-10-01,-1224
2007-11-01,-5470
2007-12-01,-5353
2008-01-01,-3014
2008-02-01,-871
2008-03-01,3297
2008-04-01,2280
2008-05-01,900
2008-06-01,1605
2008-07-01,634
2008-08-01,-376
2008-09-01,-3138
2008-10-01,-452
2008-11-01,-5406
2008-12-01,-4171
2009-01-01,-2853
2009-02-01,-1141
2009-03-01,1402
2009-04-01,1185
2009-05-01,-86
2009-06-01,1732
2009-07-01,1418
2009-08-01,1192
2009-09-01,-991
2009-10-01,636
2009-11-01,-3497
2009-12-01,-2117
2010-01-01,-1754
2010-02-01,-197
2010-03-01,2454
2010-04-01,2376
2010-05-01,561
2010-06-01,1566
2010-07-01,16
2010-08-01,198
2010-09-01,-1164
2010-10-01,418
2010-11-01,-3465
2010-12-01,-2051
2011-01-01,-1470
2011-02-01,-251
2011-03-01,2536
2011-04-01,2335
2011-05-01,836
2011-06-01,1762
2011-07-01,446
2011-08-01,1038
2011-09-01,-1157
2011-10-01,401
2011-11-01,-3854
2011-12-01,-2047
2012-01-01,-1424
2012-02-01,-195
2012-03-01,2600
2012-04-01,2434
2012-05-01,1385
2012-06-01,1955
2012-07-01,735
2012-08-01,1123
2012-09-01,-434
2012-10-01,1270
2012-11-01,-3433
2012-12-01,-2478
2013-01-01,-1459
2013-02-01,-122
2013-03-01,3604
2013-04-01,2450
2013-05-01,1643
2013-06-01,1819
2013-07-01,937
2013-08-01,833
2013-09-01,-445
2013-10-01,983
2013-11-01,-3336
2013-12-01,-2503
2014-01-01,-1777
2014-02-01,-620
2014-03-01,4493
2014-04-01,2642
2014-05-01,1676
2014-06-01,1465
2014-07-01,396
2014-08-01,-29
2014-09-01,94
2014-10-01,614
2014-11-01,-3185
2014-12-01,-2615
2015-01-01,-2251
2015-02-01,162
2015-03-01,4768
2015-04-01,2349
2015-05-01,2275
2015-06-01,3044
2015-07-01,1043
2015-08-01,-515
2015-09-01,-135
2015-10-01,169
2015-11-01,-3655
2015-12-01,-3693
2016-01-01,-2422
2016-02-01,713
2016-03-01,5773
2016-04-01,1668
2016-05-01,1687
2016-06-01,2603
2016-07-01,668
2016-08-01,171
2016-09-01,-999
2016-10-01,1275
2016-11-01,-2704
2016-12-01,-4335
2017-01-01,-2828
2017-02-01,720
2017-03-01,6456
2017-04-01,2776
2017-05-01,1646
2017-06-01,2799
2017-07-01,1157
2017-08-01,-74
2017-09-01,-1598
2017-10-01,407
2017-11-01,-3078
2017-12-01,-4802
2018-01-01,-3680
2018-02-01,1598
2018-03-01,4490
2018-04-01,4676
2018-05-01,2290
2018-06-01,841
2018-07-01,1855
2018-08-01,-2397
2018-09-01,-1871
2018-10-01,156
