date,g_pci_alaska,g_pci_california
1/1/1969,10.78,8.01
1/1/1970,10.04,5.94
1/1/1971,6.38,4.71
1/1/1972,6.39,8.43
1/1/1973,14.56,9.04
1/1/1974,19.47,10.31
1/1/1975,31.19,8.83
1/1/1976,13.53,9.8
1/1/1977,2.3,9.41
1/1/1978,0.86,11.67
1/1/1979,5.63,11.98
1/1/1980,13.46,11.28
1/1/1981,10.37,10.19
1/1/1982,13.86,4.55
1/1/1983,0.13,5.64
1/1/1984,2.93,9.62
1/1/1985,3.66,5.43
1/1/1986,-2.14,4.46
1/1/1987,-2.18,5.26
1/1/1988,3.14,5.79
1/1/1989,8.45,4.78
1/1/1990,4.97,4.56
1/1/1991,2.2,1.66
1/1/1992,2.66,3.24
1/1/1993,3.26,1.36
1/1/1994,2.89,3.1
1/1/1995,2.35,4.48
1/1/1996,1.56,5.27
1/1/1997,3.89,4.94
1/1/1998,2.74,7.88
1/1/1999,2.13,5.08
1/1/2000,6.9,8.88
1/1/2001,5.71,1.47
1/1/2002,2.86,0.45
1/1/2003,1.46,2.72
1/1/2004,3.97,5.47
1/1/2005,5.48,5
1/1/2006,5.53,7.2
1/1/2007,6.07,4.08
1/1/2008,8.47,1.83
1/1/2009,-3.47,-6.14
1/1/2010,2.25,2.94
1/1/2011,2.93,4.63
