Year,Spain,US
1970,114.5631068,67.03176342
1971,114.9791956,66.70317634
1972,114.9791956,68.56516977
1973,117.4757282,70.75575027
1974,118.0305132,70.97480832
1975,115.8113731,69.00328587
1976,113.592233,70.97480832
1977,113.592233,73.4939759
1978,111.0957004,76.88937568
1979,108.0443828,78.97042716
1980,104.0221914,78.75136911
1981,100.1386963,78.97042716
1982,98.89042996,77.76560789
1983,97.2260749,79.18948521
1984,93.61997226,83.13253012
1985,90.98474341,85.10405257
1986,93.89736477,86.0898138
1987,97.36477115,88.38992333
1988,100.554785,91.01861993
1989,103.1900139,93.53778751
1990,105.8252427,93.75684556
1991,106.6574202,92.44249726
1992,104.7156727,92.44249726
1993,101.2482663,94.63307777
1994,99.44521498,97.59036145
1995,100,100
1996,101.5256588,101.2048193
1997,105.1317614,104.162103
1998,109.9861304,106.4622125
1999,115.1178918,108.543264
2000,120.8044383,109.9671413
2001,125.2427184,108.652793
2002,128.1553398,107.2289157
