DATE,CPIAUCSL_PCH
1947-02-01,0.65177
1947-03-01,1.75763
1947-04-01,0.00000
1947-05-01,-0.22727
1947-06-01,0.59226
1947-07-01,0.67935
1947-08-01,0.76473
1947-09-01,1.96429
1947-10-01,0.30648
1947-11-01,0.65474
1947-12-01,1.51778
1948-01-01,1.15335
1948-02-01,-0.04223
1948-03-01,-0.71821
1948-04-01,1.36170
1948-05-01,0.79765
1948-06-01,0.58309
1948-07-01,1.03520
1948-08-01,0.12295
1948-09-01,-0.28653
1948-10-01,-0.20525
1948-11-01,-0.61703
1948-12-01,-0.45530
1949-01-01,-0.16632
1949-02-01,-0.41649
1949-03-01,0.00000
1949-04-01,0.04182
1949-05-01,-0.04181
1949-06-01,0.04182
1949-07-01,-0.91973
1949-08-01,0.00000
1949-09-01,0.21097
1949-10-01,-0.33684
1949-11-01,0.12674
1949-12-01,-0.37975
1950-01-01,-0.42355
1950-02-01,0.42535
1950-03-01,0.12706
1950-04-01,0.04230
1950-05-01,0.50740
1950-06-01,0.46277
1950-07-01,0.79564
1950-08-01,0.54009
1950-09-01,0.57851
1950-10-01,0.65735
1950-11-01,0.40816
1950-12-01,1.54472
1951-01-01,1.60128
1951-02-01,1.77305
1951-03-01,0.19357
1951-04-01,0.15456
1951-05-01,0.27006
1951-06-01,-0.23086
1951-07-01,-0.07713
1951-08-01,-0.19298
1951-09-01,0.65739
1951-10-01,0.49942
1951-11-01,0.61162
1951-12-01,0.56991
1952-01-01,-0.07556
1952-02-01,-0.15123
1952-03-01,-0.07573
1952-04-01,0.26525
1952-05-01,0.03779
1952-06-01,0.22667
1952-07-01,0.56540
1952-08-01,0.03748
1952-09-01,-0.22480
1952-10-01,0.22531
1952-11-01,0.00000
1952-12-01,0.07493
1953-01-01,-0.26207
1953-02-01,-0.18769
1953-03-01,0.15043
1953-04-01,0.22531
1953-05-01,0.03747
1953-06-01,0.26217
1953-07-01,0.07471
1953-08-01,0.22396
1953-09-01,0.14898
1953-10-01,0.22313
1953-11-01,-0.37106
1953-12-01,0.07449
1954-01-01,0.26051
1954-02-01,0.18560
1954-03-01,-0.22230
1954-04-01,-0.25993
1954-05-01,0.26061
1954-06-01,0.03713
1954-07-01,-0.29696
1954-08-01,-0.03723
1954-09-01,-0.14898
1954-10-01,-0.33570
1954-11-01,0.22455
1954-12-01,-0.03734
1955-01-01,0.00000
1955-02-01,0.18678
1955-03-01,-0.11186
1955-04-01,0.00000
1955-05-01,-0.07465
1955-06-01,-0.22413
1955-07-01,0.18720
