DATE,GDPC1_PC1
1948-01-01,2.60474
1948-04-01,4.57729
1948-07-01,5.39405
1948-10-01,3.88681
1949-01-01,0.93695
1949-04-01,-1.04082
1949-07-01,-0.58867
1949-10-01,-1.53303
1950-01-01,3.76669
1950-04-01,7.29739
1950-07-01,10.30497
1950-10-01,13.36853
1951-01-01,10.56300
1951-04-01,9.14987
1951-07-01,7.25469
1951-10-01,5.47138
1952-01-01,5.17002
1952-04-01,3.60140
1952-07-01,2.24208
1952-10-01,5.36785
1953-01-01,6.19177
1953-04-01,6.78262
1953-07-01,5.42076
1953-10-01,0.52333
1954-01-01,-1.78290
1954-04-01,-2.43005
1954-07-01,-0.76977
1954-10-01,2.72712
1955-01-01,6.16876
1955-04-01,7.77885
1955-07-01,8.01450
1955-10-01,6.57755
1956-01-01,3.21551
1956-04-01,2.40214
1956-07-01,0.94689
1956-10-01,1.99609
1957-01-01,3.04952
1957-04-01,1.98103
1957-07-01,3.07292
1957-10-01,0.35477
1958-01-01,-2.87228
1958-04-01,-2.01912
1958-07-01,-0.72476
1958-10-01,2.65969
1959-01-01,7.42057
1959-04-01,9.12706
1959-07-01,6.73506
1959-10-01,4.59256
1960-01-01,4.92710
1960-04-01,2.05828
1960-07-01,2.48465
1960-10-01,0.88178
1961-01-01,-0.66949
1961-04-01,1.56445
1961-07-01,3.01011
1961-10-01,6.39577
1962-01-01,7.56734
1962-04-01,6.72771
1962-07-01,6.00398
1962-10-01,4.30701
1963-01-01,3.59786
1963-04-01,3.82214
1963-07-01,4.81691
1963-10-01,5.15826
1964-01-01,6.21584
1964-04-01,6.18073
1964-07-01,5.51982
1964-10-01,5.15636
1965-01-01,5.47715
1965-04-01,5.65929
1965-07-01,6.34692
1965-10-01,8.46217
1966-01-01,8.47749
1966-04-01,7.49017
1966-07-01,6.04290
1966-10-01,4.50500
1967-01-01,2.92505
1967-04-01,2.63749
1967-07-01,2.73848
1967-10-01,2.67086
1968-01-01,3.84519
1968-04-01,5.51559
1968-07-01,5.33668
1968-10-01,4.95956
1969-01-01,4.47160
1969-04-01,3.06714
1969-07-01,2.95008
1969-10-01,2.04666
1970-01-01,0.32494
1970-04-01,0.16282
1970-07-01,0.42259
1970-10-01,-0.16671
1971-01-01,2.69724
1971-04-01,3.10662
1971-07-01,3.00590
1971-10-01,4.36721
1972-01-01,3.47607
1972-04-01,5.25518
1972-07-01,5.38192
1972-10-01,6.89447
1973-01-01,7.56189
1973-04-01,6.31967
1973-07-01,4.77108
1973-10-01,4.02376
1974-01-01,0.63878
1974-04-01,-0.20841
1974-07-01,-0.62898
1974-10-01,-1.94544
1975-01-01,-2.29906
1975-04-01,-1.83426
1975-07-01,0.79868
1975-10-01,2.55400
1976-01-01,6.15239
1976-04-01,6.17257
1976-07-01,4.95863
1976-10-01,4.31481
1977-01-01,3.22598
1977-04-01,4.46634
1977-07-01,5.77089
1977-10-01,5.01203
1978-01-01,4.11707
1978-04-01,6.07814
1978-07-01,5.24578
1978-10-01,6.65810
1979-01-01,6.50990
1979-04-01,2.65687
1979-07-01,2.38993
1979-10-01,1.28456
1980-01-01,1.42078
1980-04-01,-0.77507
1980-07-01,-1.62381
1980-10-01,-0.03914
1981-01-01,1.59998
1981-04-01,2.96869
1981-07-01,4.32576
1981-10-01,1.29991
1982-01-01,-2.19034
1982-04-01,-1.01055
1982-07-01,-2.55590
1982-10-01,-1.44315
1983-01-01,1.43146
1983-04-01,3.26853
1983-07-01,5.73717
1983-10-01,7.89998
1984-01-01,8.57827
1984-04-01,7.99670
1984-07-01,6.90084
1984-10-01,5.57580
1985-01-01,4.55511
1985-04-01,3.68423
1985-07-01,4.26246
1985-10-01,4.18224
1986-01-01,4.14552
1986-04-01,3.70153
1986-07-01,3.11923
1986-10-01,2.90815
1987-01-01,2.71613
1987-04-01,3.35882
1987-07-01,3.26728
1987-10-01,4.47930
1988-01-01,4.24228
1988-04-01,4.48460
1988-07-01,4.19282
1988-10-01,3.79890
1989-01-01,4.31521
1989-04-01,3.74830
1989-07-01,3.90812
1989-10-01,2.74381
1990-01-01,2.82130
1990-04-01,2.41276
1990-07-01,1.72721
1990-10-01,0.60288
1991-01-01,-0.95020
1991-04-01,-0.53884
1991-07-01,-0.10272
1991-10-01,1.16642
1992-01-01,2.85865
1992-04-01,3.16957
1992-07-01,3.66535
1992-10-01,4.38298
1993-01-01,3.32091
1993-04-01,2.80787
1993-07-01,2.28771
1993-10-01,2.60856
1994-01-01,3.43094
1994-04-01,4.22545
1994-07-01,4.33665
1994-10-01,4.11576
1995-01-01,3.48112
1995-04-01,2.40225
1995-07-01,2.67322
1995-10-01,2.19967
1996-01-01,2.60111
1996-04-01,4.00206
1996-07-01,4.04982
1996-10-01,4.42122
1997-01-01,4.31406
1997-04-01,4.30807
1997-07-01,4.67389
1997-10-01,4.48786
1998-01-01,4.85529
1998-04-01,4.09597
1998-07-01,4.09774
1998-10-01,4.87911
1999-01-01,4.82407
1999-04-01,4.66137
1999-07-01,4.72039
1999-10-01,4.80665
2000-01-01,4.19958
2000-04-01,5.29774
2000-07-01,4.07533
2000-10-01,2.97348
2001-01-01,2.30971
2001-04-01,1.05724
2001-07-01,0.50359
2001-10-01,0.15349
2002-01-01,1.31828
2002-04-01,1.33961
2002-07-01,2.21437
2002-10-01,2.09454
2003-01-01,1.77093
2003-04-01,2.02840
2003-07-01,3.30181
2003-10-01,4.32636
2004-01-01,4.30456
2004-04-01,4.20302
2004-07-01,3.43159
2004-10-01,3.28179
2005-01-01,3.87068
2005-04-01,3.56089
2005-07-01,3.50550
2005-10-01,3.12611
2006-01-01,3.35389
2006-04-01,3.11947
2006-07-01,2.36650
2006-10-01,2.59070
2007-01-01,1.48229
2007-04-01,1.82569
2007-07-01,2.22081
2007-10-01,1.97348
2008-01-01,1.14924
2008-04-01,1.09243
2008-07-01,0.00188
2008-10-01,-2.75308
2009-01-01,-3.28907
2009-04-01,-3.92445
2009-07-01,-3.04978
2009-10-01,0.18287
2010-01-01,1.71025
2010-04-01,2.79607
2010-07-01,3.17821
2010-10-01,2.56945
2011-01-01,1.93063
2011-04-01,1.72150
2011-07-01,0.94904
2011-10-01,1.60935
2012-01-01,2.65176
2012-04-01,2.36151
2012-07-01,2.52812
2012-10-01,1.46857
2013-01-01,1.57195
2013-04-01,1.26165
2013-07-01,1.91742
2013-10-01,2.61412
2014-01-01,1.45720
2014-04-01,2.60273
2014-07-01,3.03591
2014-10-01,2.70227
2015-01-01,3.80856
2015-04-01,3.36847
2015-07-01,2.37901
2015-10-01,2.00001
2016-01-01,1.55685
2016-04-01,1.29595
2016-07-01,1.53625
2016-10-01,1.87876
2017-01-01,1.93826
2017-04-01,2.11471
2017-07-01,2.33888
2017-10-01,2.47171
2018-01-01,2.58041
2018-04-01,2.86981
2018-07-01,3.00279
2018-10-01,2.97138
2019-01-01,3.18465
