DATE,DEXCHUS
2010-06-09,6.8285
2010-06-10,6.8305
2010-06-11,6.8320
2010-06-14,6.8323
2010-06-15,6.8323
2010-06-16,6.8323
2010-06-17,6.8290
2010-06-18,6.8267
2010-06-21,6.7968
2010-06-22,6.8127
2010-06-23,6.8124
2010-06-24,6.8001
2010-06-25,6.7911
2010-06-28,6.7960
2010-06-29,6.7977
2010-06-30,6.7815
2010-07-01,6.7807
2010-07-02,6.7709
2010-07-05,.
2010-07-06,6.7801
2010-07-07,6.7770
2010-07-08,6.7763
2010-07-09,6.7720
2010-07-12,6.7709
2010-07-13,6.7720
2010-07-14,6.7714
2010-07-15,6.7774
2010-07-16,6.7750
2010-07-19,6.7780
2010-07-20,6.7781
2010-07-21,6.7769
2010-07-22,6.7795
2010-07-23,6.7803
2010-07-26,6.7788
2010-07-27,6.7781
2010-07-28,6.7780
2010-07-29,6.7760
2010-07-30,6.7735
2010-08-02,6.7740
2010-08-03,6.7728
2010-08-04,6.7720
2010-08-05,6.7705
2010-08-06,6.7680
2010-08-09,6.7670
2010-08-10,6.7720
2010-08-11,6.7745
2010-08-12,6.7843
2010-08-13,6.7957
2010-08-16,6.8038
2010-08-17,6.7920
2010-08-18,6.7911
2010-08-19,6.7897
2010-08-20,6.7900
2010-08-23,6.7995
2010-08-24,6.7966
2010-08-25,6.7995
2010-08-26,6.7998
2010-08-27,6.7977
2010-08-30,6.8029
2010-08-31,6.8069
2010-09-01,6.8102
2010-09-02,6.8070
2010-09-03,6.8014
2010-09-06,.
2010-09-07,6.7906
2010-09-08,6.7940
2010-09-09,6.7820
2010-09-10,6.7690
2010-09-13,6.7595
2010-09-14,6.7430
2010-09-15,6.7380
2010-09-16,6.7250
2010-09-17,6.7230
2010-09-20,6.7135
2010-09-21,6.7059
2010-09-22,6.7035
2010-09-23,6.7046
2010-09-24,6.7035
2010-09-27,6.6911
2010-09-28,6.6904
2010-09-29,6.6869
2010-09-30,6.6905
2010-10-01,6.6895
2010-10-04,6.6912
2010-10-05,6.6906
2010-10-06,6.6893
2010-10-07,6.6903
2010-10-08,6.6710
2010-10-11,.
2010-10-12,6.6733
2010-10-13,6.6634
2010-10-14,6.6505
2010-10-15,6.6397
2010-10-18,6.6440
2010-10-19,6.6444
2010-10-20,6.6518
2010-10-21,6.6502
2010-10-22,6.6583
2010-10-25,6.6579
2010-10-26,6.6625
2010-10-27,6.6805
2010-10-28,6.6867
2010-10-29,6.6707
2010-11-01,6.6892
2010-11-02,6.6775
2010-11-03,6.6758
2010-11-04,6.6609
2010-11-05,6.6550
2010-11-08,6.6791
2010-11-09,6.6424
2010-11-10,6.6335
2010-11-11,.
2010-11-12,6.6368
2010-11-15,6.6418
2010-11-16,6.6378
2010-11-17,6.6415
2010-11-18,6.6330
2010-11-19,6.6398
2010-11-22,6.6414
2010-11-23,6.6433
2010-11-24,6.6529
2010-11-25,.
2010-11-26,6.6675
2010-11-29,6.6600
2010-11-30,6.6670
2010-12-01,6.6630
2010-12-02,6.6609
2010-12-03,6.6628
2010-12-06,6.6483
2010-12-07,6.6455
2010-12-08,6.6616
2010-12-09,6.6549
2010-12-10,6.6550
2010-12-13,6.6652
2010-12-14,6.6563
2010-12-15,6.6541
2010-12-16,6.6635
2010-12-17,6.6545
2010-12-20,6.6745
2010-12-21,6.6580
2010-12-22,6.6450
2010-12-23,6.6450
2010-12-24,.
2010-12-27,6.6306
2010-12-28,6.6247
2010-12-29,6.6200
2010-12-30,6.6000
2010-12-31,.
2011-01-03,6.5895
2011-01-04,6.6065
