DATE,AMBNS
1918-01-01,4.874
1918-02-01,4.834
1918-03-01,4.914
1918-04-01,4.993
1918-05-01,4.954
1918-06-01,5.022
1918-07-01,5.029
1918-08-01,5.168
1918-09-01,5.428
1918-10-01,5.654
1918-11-01,5.681
1918-12-01,5.792
1919-01-01,5.664
1919-02-01,5.539
1919-03-01,5.583
1919-04-01,5.612
1919-05-01,5.613
1919-06-01,5.577
1919-07-01,5.602
1919-08-01,5.635
1919-09-01,5.728
1919-10-01,5.853
1919-11-01,5.982
1919-12-01,6.086
1920-01-01,6.043
1920-02-01,6.069
1920-03-01,6.186
1920-04-01,6.157
1920-05-01,6.179
1920-06-01,6.209
1920-07-01,6.224
1920-08-01,6.223
1920-09-01,6.312
1920-10-01,6.375
1920-11-01,6.336
1920-12-01,6.311
1921-01-01,6.097
1921-02-01,5.935
1921-03-01,5.852
1921-04-01,5.715
1921-05-01,5.676
1921-06-01,5.589
1921-07-01,5.497
1921-08-01,5.405
1921-09-01,5.395
1921-10-01,5.388
1921-11-01,5.355
1921-12-01,5.403
1922-01-01,5.264
1922-02-01,5.181
1922-03-01,5.229
1922-04-01,5.247
1922-05-01,5.263
1922-06-01,5.277
1922-07-01,5.288
1922-08-01,5.281
1922-09-01,5.384
1922-10-01,5.487
1922-11-01,5.502
1922-12-01,5.653
1923-01-01,5.591
1923-02-01,5.570
1923-03-01,5.582
1923-04-01,5.594
1923-05-01,5.628
1923-06-01,5.635
1923-07-01,5.664
1923-08-01,5.654
1923-09-01,5.726
1923-10-01,5.723
1923-11-01,5.796
1923-12-01,5.907
1924-01-01,5.734
1924-02-01,5.704
1924-03-01,5.758
1924-04-01,5.763
1924-05-01,5.761
1924-06-01,5.799
1924-07-01,5.821
1924-08-01,5.835
1924-09-01,5.925
1924-10-01,5.977
1924-11-01,6.067
1924-12-01,6.188
1925-01-01,5.999
1925-02-01,5.917
1925-03-01,5.905
1925-04-01,5.883
1925-05-01,5.880
1925-06-01,5.887
1925-07-01,5.908
1925-08-01,5.920
1925-09-01,6.010
1925-10-01,6.080
1925-11-01,6.109
1925-12-01,6.248
1926-01-01,6.061
1926-02-01,6.003
1926-03-01,6.003
1926-04-01,6.006
