DATE,GDPC1
1947-01-01,1934.471
1947-04-01,1932.281
1947-07-01,1930.315
1947-10-01,1960.705
1948-01-01,1989.535
1948-04-01,2021.851
1948-07-01,2033.155
1948-10-01,2035.329
1949-01-01,2007.522
1949-04-01,2000.788
1949-07-01,2022.798
1949-10-01,2004.653
1950-01-01,2084.559
1950-04-01,2147.592
1950-07-01,2230.362
1950-10-01,2273.435
1951-01-01,2304.542
1951-04-01,2344.517
1951-07-01,2392.808
1951-10-01,2398.105
1952-01-01,2423.457
1952-04-01,2428.516
1952-07-01,2446.081
1952-10-01,2526.359
1953-01-01,2573.372
1953-04-01,2593.456
1953-07-01,2578.922
1953-10-01,2539.786
1954-01-01,2528.043
1954-04-01,2530.689
1954-07-01,2559.397
1954-10-01,2609.272
1955-01-01,2683.766
1955-04-01,2727.452
1955-07-01,2764.128
1955-10-01,2780.762
1956-01-01,2770.032
1956-04-01,2792.872
1956-07-01,2790.588
1956-10-01,2836.238
1957-01-01,2854.517
1957-04-01,2848.186
1957-07-01,2875.927
1957-10-01,2846.446
1958-01-01,2772.654
1958-04-01,2790.948
1958-07-01,2855.472
1958-10-01,2922.264
1959-01-01,2976.629
1959-04-01,3049.011
1959-07-01,3043.139
1959-10-01,3055.104
1960-01-01,3123.162
1960-04-01,3111.31
1960-07-01,3119.057
1960-10-01,3081.3
1961-01-01,3102.251
1961-04-01,3159.918
1961-07-01,3212.606
1961-10-01,3277.717
1962-01-01,3336.753
1962-04-01,3372.706
1962-07-01,3404.833
1962-10-01,3418.046
1963-01-01,3456.08
1963-04-01,3501.134
1963-07-01,3569.479
1963-10-01,3594.954
1964-01-01,3672.708
1964-04-01,3716.382
1964-07-01,3766.862
1964-10-01,3780.219
1965-01-01,3873.452
1965-04-01,3926.406
1965-07-01,4006.152
1965-10-01,4100.631
1966-01-01,4201.891
1966-04-01,4219.097
1966-07-01,4249.152
1966-10-01,4285.582
1967-01-01,4324.926
1967-04-01,4328.72
1967-07-01,4366.088
1967-10-01,4401.233
1968-01-01,4490.609
1968-04-01,4566.442
1968-07-01,4599.332
1968-10-01,4619.803
1969-01-01,4691.637
1969-04-01,4706.684
1969-07-01,4736.143
1969-10-01,4715.469
1970-01-01,4707.112
1970-04-01,4715.441
1970-07-01,4757.213
1970-10-01,4708.281
1971-01-01,4834.349
1971-04-01,4861.938
1971-07-01,4899.95
1971-10-01,4914.261
1972-01-01,5002.436
1972-04-01,5118.278
1972-07-01,5165.448
1972-10-01,5251.226
1973-01-01,5380.502
1973-04-01,5441.504
1973-07-01,5411.935
1973-10-01,5462.397
1974-01-01,5417.024
1974-04-01,5431.265
1974-07-01,5378.679
1974-10-01,5357.166
1975-01-01,5292.444
1975-04-01,5333.22
1975-07-01,5421.357
1975-10-01,5494.446
1976-01-01,5618.52
1976-04-01,5660.972
1976-07-01,5689.756
1976-10-01,5732.462
1977-01-01,5799.16
1977-04-01,5912.977
1977-07-01,6017.586
1977-10-01,6018.218
1978-01-01,6039.158
1978-04-01,6273.963
1978-07-01,6335.317
1978-10-01,6420.288
1979-01-01,6433.044
1979-04-01,6440.832
1979-07-01,6487.08
1979-10-01,6503.874
1980-01-01,6524.912
1980-04-01,6392.578
1980-07-01,6382.892
1980-10-01,6501.184
1981-01-01,6635.726
1981-04-01,6587.269
1981-07-01,6662.858
1981-10-01,6585.127
1982-01-01,6474.973
1982-04-01,6510.247
1982-07-01,6486.8
1982-10-01,6493.128
1983-01-01,6578.175
1983-04-01,6728.287
1983-07-01,6860.022
1983-10-01,7001.489
1984-01-01,7140.597
1984-04-01,7266.01
1984-07-01,7337.493
1984-10-01,7396.019
1985-01-01,7469.545
1985-04-01,7537.928
1985-07-01,7655.196
1985-10-01,7712.624
1986-01-01,7784.109
1986-04-01,7819.843
1986-07-01,7898.555
1986-10-01,7939.45
1987-01-01,7994.965
1987-04-01,8084.71
1987-07-01,8158.035
1987-10-01,8292.687
1988-01-01,8339.324
1988-04-01,8449.51
1988-07-01,8498.282
1988-10-01,8610.85
1989-01-01,8697.711
1989-04-01,8766.105
1989-07-01,8831.544
1989-10-01,8850.23
1990-01-01,8947.129
1990-04-01,8981.727
