DATE,M04051USM324NNBR
1860-01-01,72
1860-02-01,72
1860-03-01,72
1860-04-01,71
1860-05-01,71
1860-06-01,70
1860-07-01,71
1860-08-01,71
1860-09-01,71
1860-10-01,72
1860-11-01,72
1860-12-01,71
1861-01-01,71
1861-02-01,70
1861-03-01,70
1861-04-01,69
1861-05-01,69
1861-06-01,68
1861-07-01,67
1861-08-01,68
1861-09-01,68
1861-10-01,70
1861-11-01,72
1861-12-01,73
1862-01-01,75
1862-02-01,76
1862-03-01,75
1862-04-01,75
1862-05-01,74
1862-06-01,74
1862-07-01,76
1862-08-01,80
1862-09-01,81
1862-10-01,83
1862-11-01,88
1862-12-01,90
1863-01-01,91
1863-02-01,96
1863-03-01,98
1863-04-01,97
1863-05-01,94
1863-06-01,93
1863-07-01,94
1863-08-01,94
1863-09-01,93
1863-10-01,98
1863-11-01,102
1863-12-01,105
1864-01-01,108
1864-02-01,111
1864-03-01,114
1864-04-01,118
1864-05-01,121
1864-06-01,128
1864-07-01,142
1864-08-01,145
1864-09-01,146
1864-10-01,137
1864-11-01,141
1864-12-01,145
1865-01-01,144
1865-02-01,141
1865-03-01,136
1865-04-01,124
1865-05-01,119
1865-06-01,115
1865-07-01,116
1865-08-01,119
1865-09-01,124
1865-10-01,129
1865-11-01,129
1865-12-01,127
1866-01-01,126
1866-02-01,124
1866-03-01,123
1866-04-01,119
1866-05-01,121
1866-06-01,122
1866-07-01,123
1866-08-01,124
1866-09-01,123
1866-10-01,126
1866-11-01,124
1866-12-01,121
1867-01-01,120
1867-02-01,119
1867-03-01,118
1867-04-01,119
1867-05-01,120
1867-06-01,116
1867-07-01,115
1867-08-01,120
1867-09-01,115
1867-10-01,115
1867-11-01,114
1867-12-01,113
1868-01-01,113
1868-02-01,114
1868-03-01,116
1868-04-01,117
1868-05-01,116
1868-06-01,114
1868-07-01,113
1868-08-01,114
1868-09-01,113
1868-10-01,112
1868-11-01,112
1868-12-01,112
1869-01-01,112
1869-02-01,113
1869-03-01,112
1869-04-01,111
1869-05-01,110
1869-06-01,109
1869-07-01,109
1869-08-01,112
1869-09-01,111
1869-10-01,109
1869-11-01,109
1869-12-01,108
1870-01-01,105
1870-02-01,104
1870-03-01,102
1870-04-01,102
1870-05-01,103
1870-06-01,102
1870-07-01,102
1870-08-01,101
1870-09-01,101
1870-10-01,101
1870-11-01,100
1870-12-01,99
1871-01-01,100
1871-02-01,102
1871-03-01,103
1871-04-01,100
1871-05-01,99
1871-06-01,98
1871-07-01,98
1871-08-01,97
1871-09-01,98
1871-10-01,99
1871-11-01,99
1871-12-01,100
1872-01-01,100
1872-02-01,100
1872-03-01,101
1872-04-01,103
1872-05-01,103
1872-06-01,102
1872-07-01,101
1872-08-01,102
1872-09-01,102
1872-10-01,101
1872-11-01,103
1872-12-01,102
1873-01-01,102
1873-02-01,103
1873-03-01,103
1873-04-01,103
1873-05-01,101
1873-06-01,99
1873-07-01,99
1873-08-01,99
1873-09-01,99
1873-10-01,98
1873-11-01,96
1873-12-01,98
1874-01-01,98
1874-02-01,97
1874-03-01,97
1874-04-01,97
1874-05-01,97
1874-06-01,95
1874-07-01,96
1874-08-01,95
1874-09-01,95
1874-10-01,94
1874-11-01,93
1874-12-01,94
1875-01-01,94
1875-02-01,94
1875-03-01,94
1875-04-01,94
1875-05-01,93
1875-06-01,92
1875-07-01,92
1875-08-01,92
1875-09-01,92
1875-10-01,91
1875-11-01,91
1875-12-01,90
1876-01-01,90
1876-02-01,90
1876-03-01,89
1876-04-01,88
1876-05-01,86
1876-06-01,85
1876-07-01,85
1876-08-01,86
1876-09-01,86
1876-10-01,87
1876-11-01,87
1876-12-01,88
1877-01-01,88
1877-02-01,87
1877-03-01,85
1877-04-01,85
1877-05-01,86
1877-06-01,84
1877-07-01,84
1877-08-01,82
1877-09-01,83
1877-10-01,82
1877-11-01,81
1877-12-01,81
1878-01-01,80
1878-02-01,80
1878-03-01,79
1878-04-01,78
1878-05-01,77
1878-06-01,76
1878-07-01,77
1878-08-01,77
1878-09-01,77
1878-10-01,77
1878-11-01,76
1878-12-01,76
1879-01-01,76
1879-02-01,76
1879-03-01,76
1879-04-01,75
1879-05-01,75
1879-06-01,75
1879-07-01,75
1879-08-01,75
1879-09-01,77
1879-10-01,79
1879-11-01,81
1879-12-01,82
1880-01-01,83
1880-02-01,84
1880-03-01,84
1880-04-01,83
1880-05-01,82
1880-06-01,81
1880-07-01,81
1880-08-01,82
1880-09-01,82
1880-10-01,83
1880-11-01,83
1880-12-01,83
1881-01-01,83
1881-02-01,84
1881-03-01,84
1881-04-01,84
1881-05-01,84
1881-06-01,84
1881-07-01,85
1881-08-01,85
1881-09-01,87
1881-10-01,87
1881-11-01,87
1881-12-01,87
1882-01-01,87
1882-02-01,87
1882-03-01,87
1882-04-01,88
1882-05-01,88
1882-06-01,89
1882-07-01,88
1882-08-01,89
1882-09-01,88
1882-10-01,88
1882-11-01,87
1882-12-01,86
1883-01-01,86
1883-02-01,86
1883-03-01,86
